2023-07-13 22:42:34,516 INFO    Thread-87 (_run_job):24594 [wandb_setup.py:_flush():76] Current SDK version is 0.15.5
2023-07-13 22:42:34,517 INFO    Thread-87 (_run_job):24594 [wandb_setup.py:_flush():76] Configure stats pid to 24594
2023-07-13 22:42:34,517 INFO    Thread-87 (_run_job):24594 [wandb_setup.py:_flush():76] Loading settings from /home/alex/.config/wandb/settings
2023-07-13 22:42:34,517 INFO    Thread-87 (_run_job):24594 [wandb_setup.py:_flush():76] Loading settings from /home/alex/Bureau/llm/blablateurbinaire/wandb/settings
2023-07-13 22:42:34,517 INFO    Thread-87 (_run_job):24594 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'bengio-lm', 'entity': 'alexandretl', 'root_dir': '/home/alex/Bureau/llm/blablateurbinaire', 'run_id': '0ke6o54s', 'sweep_param_path': '/home/alex/Bureau/llm/blablateurbinaire/wandb/sweep-08ytpnd3/config-0ke6o54s.yaml', 'sweep_id': '08ytpnd3'}
2023-07-13 22:42:34,517 INFO    Thread-87 (_run_job):24594 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-07-13 22:42:34,517 INFO    Thread-87 (_run_job):24594 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'mlp_lm.py', 'program': '/home/alex/Bureau/llm/blablateurbinaire/mlp_lm.py'}
2023-07-13 22:42:34,517 INFO    Thread-87 (_run_job):24594 [wandb_init.py:_log_setup():507] Logging user logs to /home/alex/Bureau/llm/blablateurbinaire/wandb/run-20230713_224234-0ke6o54s/logs/debug.log
2023-07-13 22:42:34,517 INFO    Thread-87 (_run_job):24594 [wandb_init.py:_log_setup():508] Logging internal logs to /home/alex/Bureau/llm/blablateurbinaire/wandb/run-20230713_224234-0ke6o54s/logs/debug-internal.log
2023-07-13 22:42:34,518 INFO    Thread-87 (_run_job):24594 [wandb_init.py:init():547] calling init triggers
2023-07-13 22:42:34,518 INFO    Thread-87 (_run_job):24594 [wandb_init.py:init():554] wandb.init called with sweep_config: {'batch_size': 1024, 'context_len': 5, 'embed_dim': 8, 'hidden_dim': 50, 'learning_rate': 0.008494775293573847}
config: {}
2023-07-13 22:42:34,518 INFO    Thread-87 (_run_job):24594 [wandb_init.py:init():596] starting backend
2023-07-13 22:42:34,518 INFO    Thread-87 (_run_job):24594 [wandb_init.py:init():600] setting up manager
2023-07-13 22:42:34,530 INFO    Thread-87 (_run_job):24594 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-07-13 22:42:34,537 INFO    Thread-87 (_run_job):24594 [wandb_init.py:init():606] backend started and connected
2023-07-13 22:42:34,540 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_config_callback():1281] config_cb None None {'batch_size': 1024, 'context_len': 5, 'embed_dim': 8, 'hidden_dim': 50, 'learning_rate': 0.008494775293573847}
2023-07-13 22:42:34,540 INFO    Thread-87 (_run_job):24594 [wandb_init.py:init():705] updated telemetry
2023-07-13 22:42:34,541 INFO    Thread-87 (_run_job):24594 [wandb_init.py:init():738] communicating run to backend with 60.0 second timeout
2023-07-13 22:42:35,406 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_on_init():2173] communicating current version
2023-07-13 22:42:35,874 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_on_init():2182] got version response 
2023-07-13 22:42:35,875 INFO    Thread-87 (_run_job):24594 [wandb_init.py:init():789] starting run threads in backend
2023-07-13 22:42:37,926 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_console_start():2152] atexit reg
2023-07-13 22:42:37,926 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_redirect():2007] redirect: 3
2023-07-13 22:42:37,926 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_redirect():2072] Wrapping output streams.
2023-07-13 22:42:37,927 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_redirect():2097] Redirects installed.
2023-07-13 22:42:37,927 INFO    Thread-87 (_run_job):24594 [wandb_init.py:init():830] run started, returning control to user process
2023-07-13 22:42:47,593 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_finish():1887] finishing run alexandretl/bengio-lm/0ke6o54s
2023-07-13 22:42:47,593 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_atexit_cleanup():2121] got exitcode: 0
2023-07-13 22:42:47,593 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_restore():2104] restore
2023-07-13 22:42:47,593 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_restore():2110] restore done
2023-07-13 22:42:54,152 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_footer_history_summary_info():3464] rendering history
2023-07-13 22:42:54,152 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_footer_history_summary_info():3496] rendering summary
2023-07-13 22:42:54,158 INFO    Thread-87 (_run_job):24594 [wandb_run.py:_footer_sync_info():3423] logging synced files
